,Station name,location,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
108,Turbhe,"(19.0761648, 73.01766154369602)",0.0,0.0,1.0,4.0,1.0,5.0,4.0,0.0,1.0,3.0
109,Ulhasnagar,"(19.217643600000002, 73.16361081346678)",4.0,9.0,0.0,7.0,1.0,4.0,13.0,0.0,8.0,3.0
110,Umbermali,"(19.6337517, 73.4256215)",0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Umroli,"(19.7557614, 72.7604506)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
112,Uran City,"(18.878674, 72.9494826)",0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
113,Wadala Road,"(19.0168546, 72.8591933)",3.0,8.0,0.0,11.0,5.0,8.0,12.0,12.0,15.0,3.0
114,Vaitarna,"(19.5186517, 72.8499772)",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
115,Vangaon,"(19.8829908, 72.7631658)",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
116,Vangani,"(19.0943323, 73.3008946)",0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0
117,Vasai Road,"(19.3826208, 72.8320393)",5.0,5.0,0.0,19.0,6.0,4.0,6.0,4.0,7.0,6.0
118,Vashi,"(19.063404050000003, 72.99904980384244)",6.0,6.0,2.0,38.0,11.0,5.0,27.0,13.0,47.0,8.0
119,Vasind,"(19.4065089, 73.2674683)",0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0
120,Vidyavihar,"(19.0796294, 72.8974906700789)",3.0,19.0,2.0,27.0,10.0,9.0,9.0,3.0,10.0,3.0
121,Vikhroli,"(19.1114795, 72.928021)",5.0,12.0,0.0,19.0,5.0,3.0,20.0,6.0,2.0,8.0
122,Vile Parle,"(19.1002887, 72.8417618)",7.0,26.0,0.0,52.0,4.0,8.0,22.0,13.0,28.0,10.0
123,Virar,"(19.436533, 72.8384526)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
124,Vithalwadi,"(19.228396, 73.1495166)",4.0,2.0,0.0,5.0,3.0,4.0,9.0,3.0,11.0,2.0
125,Tilak Nagar,"(27.6379803, 95.667004)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Sewri,"(18.9987796, 72.8544218)",1.0,5.0,0.0,4.0,1.0,5.0,3.0,12.0,15.0,4.0
127,Taloja,"(19.0614859, 73.1161392)",0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,3.0,1.0
128,Pen,"(18.6973659, 73.13672046831282)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Rasayani,"(18.8978821, 73.1803608)",0.0,5.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0
130,Nagothane,"(18.5402418, 73.1406194)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
